ASN,ASN_NAME,SOURCE,ASOF_DATE
6789,CRELCOM-NET,ASRank,2024-05-24
25291,INTERDOTLINK-SYSELEVEN,ASRank,2024-05-24
30823,AUROLOGIC,ASRank,2024-05-24
21559,OSNET,ASRank,2024-05-24
27064,DNIC-ASBLK-27032-27159,ASRank,2024-05-24
33650,COMCAST-33650,ASRank,2024-05-24
8501,PIONIER-AS,ASRank,2024-05-24
132116,ANINETWORK-IN,ASRank,2024-05-24
7342,VERISIGN-AS,ASRank,2024-05-24
1759,TSF-IP-Core,ASRank,2024-05-24
29802,HVC-AS,ASRank,2024-05-24
13876,FIBER-64,ASRank,2024-05-24
44600,GT-AS,ASRank,2024-05-24
9957,KINX-AS,ASRank,2024-05-24
49832,AS-QBIC,ASRank,2024-05-24
3754,NYSERNET3-AS,ASRank,2024-05-24
30517,GREAT-LAKES-COMNET,ASRank,2024-05-24
4621,UNINET-AS-AP,ASRank,2024-05-24
8437,UTA-AS,ASRank,2024-05-24
60388,TRANSNEFT-TELECOM-AS,ASRank,2024-05-24
27552,TWDX,ASRank,2024-05-24
25899,LSNET,ASRank,2024-05-24
197068,QRATOR,ASRank,2024-05-24
8595,WESTCALL-AS,ASRank,2024-05-24
9507,NEXTHOP-AS-AP,ASRank,2024-05-24
2687,ATGS-MMD-AS,ASRank,2024-05-24
10578,GIGAPOP-NE,ASRank,2024-05-24
29465,VCG-AS,ASRank,2024-05-24
17639,CONVERGE-AS,ASRank,2024-05-24
15895,KSNET-AS,ASRank,2024-05-24
13004,SOX,ASRank,2024-05-24
4515,ERX-STAR,ASRank,2024-05-24
25180,EXPONENTIAL-E-AS,ASRank,2024-05-24
4750,CSLOXINFO-AS-AP,ASRank,2024-05-24
719,ELISA-AS,ASRank,2024-05-24
8473,BAHNHOF,ASRank,2024-05-24
42708,PORTLANE,ASRank,2024-05-24
31025,IAG-AS,ASRank,2024-05-24
28761,CrimeaCom-LLC,ASRank,2024-05-24
25227,ASN-AVANTEL-MSK,ASRank,2024-05-24
31261,GARS-AS,ASRank,2024-05-24
29396,Eurofiber-UNET,ASRank,2024-05-24
12297,TELECOM-ARMENIA,ASRank,2024-05-24
25454,ASN-OMD-FNO,ASRank,2024-05-24
3630,NYSERNET-BLK,ASRank,2024-05-24
196695,NETONERUS,ASRank,2024-05-24
11383,AS-TIERP-11383,ASRank,2024-05-24
58945,VCL-AS-AP,ASRank,2024-05-24
10490,SOUTHERN-CROSSROADS-SOX,ASRank,2024-05-24
9848,SejongTelecom-AS-KR,ASRank,2024-05-24
64315,IDNIC-CLOUD-INDO-AS-ID,ASRank,2024-05-24
53667,PONYNET,ASRank,2024-05-24
26801,ZITOMEDIA611,ASRank,2024-05-24
8781,QA-ISP,ASRank,2024-05-24
600,OARNET-AS,ASRank,2024-05-24
33763,Paratus,ASRank,2024-05-24
9145,EWETEL,ASRank,2024-05-24
47787,EDGOO,ASRank,2024-05-24
41313,NOVATEL-AS,ASRank,2024-05-24
15994,A1HR,ASRank,2024-05-24
47232,ISPAlliance,ASRank,2024-05-24
2588,LATNET-AS,ASRank,2024-05-24
17621,CNCGROUP-SH,ASRank,2024-05-24
394684,AS-GOLD,ASRank,2024-05-24
